Latitude,Longitude,FSA
43.73428941,-79.34605511,M3C
43.76672932,-79.23341655,M1H
43.77683371,-79.35900894,M2J
43.65560358,-79.51066799,M8X
43.66864211,-79.38610455,M4Y
43.64696529,-79.40111063,M5V
43.73406245,-79.44970557,M3H
43.67974331,-79.51900329,M9A
43.75997849,-79.41053431,M2N
43.64815139,-79.37603205,M5E
43.70539159,-79.31282765,M4B
43.80421958,-79.16877541,M1B
43.80421958,-79.16877541,M1B
43.68473782,-79.31716614,M4C
43.664951,-79.37908915,M4Y
43.65154279,-79.40096323,M5T
43.76212339,-79.1947643,M1E
43.70456285,-79.50693665,M9N
43.64918409,-79.38410124,M5H
43.6580454,-79.39301844,M5T
43.67427843,-79.46002252,M6N
43.80421958,-79.16877541,M1B
43.6570673,-79.37453055,M5A
43.6588675,-79.36855016,M5A
43.6605698,-79.38208705,M5B
43.6605698,-79.38208705,M5B
43.68336521,-79.32363123,M4J
43.64458158,-79.37405555,M5E
43.65179209,-79.39298764,M5T
43.68813942,-79.30182185,M4C
43.80341202,-79.3218592,M1W
43.70064586,-79.49797485,M6M
43.65040689,-79.38860554,M5T
43.6566319,-79.37652885,M5B
43.6566319,-79.37652885,M5B
43.82020561,-79.3076655,M1V
43.72242269,-79.39022775,M4N
43.77608199,-79.41297836,M2N
43.76429542,-79.57472584,M9L
43.79451485,-79.38394214,M2K
43.74966907,-79.26447154,M1P
43.72777919,-79.25248672,M1K
43.64317288,-79.37791755,M5J
43.64088553,-79.53954739,M9B
43.75585759,-79.52425741,M3N
43.65531469,-79.39185824,M5T
43.66337965,-79.563175,M9B
43.658388,-79.39139664,M5G
43.71803338,-79.59065759,M9W
43.72830546,-79.49826185,M3M
43.67427843,-79.46002252,M6N
43.78593636,-79.27602801,M1S
43.78593636,-79.27602801,M1S
43.66940901,-79.38246995,M4Y
43.7855565,-79.2062873,M1E
43.75441047,-79.25092176,M1P
43.7855565,-79.2062873,M1E
43.74389129,-79.21562149,M1J
43.78431041,-79.38581039,M2K
43.65316269,-79.37576055,M5C
43.70401345,-79.51244845,M9N
43.75113378,-79.50266603,M3J
43.64960551,-79.4954285,M8X
43.65407279,-79.37995625,M5B
43.8239624,-79.24792818,M1V
43.6629221,-79.37433745,M4Y
43.69452357,-79.438874,M6C
43.64035909,-79.4959595,M8Y
43.79043778,-79.30228279,M1T
43.75440073,-79.29837089,M1R
43.6455275,-79.5237469,M8X
43.6629221,-79.37433745,M4Y
43.64708175,-79.5124285,M8X
43.64708175,-79.5124285,M8X
43.67027742,-79.42378933,M6G
43.76751038,-79.52253251,M3N
43.73213778,-79.50034416,M3M
43.77540732,-79.33383336,M2J
43.72053455,-79.49839295,M3M
43.71777697,-79.40946382,M4R
43.72053455,-79.49839295,M3M
43.77079862,-79.30190217,M1T
43.79899361,-79.3059691,M1W
43.6573981,-79.38135845,M5B
43.74547118,-79.55805019,M9M
43.64591719,-79.37908774,M5J
43.64427508,-79.38479944,M5J
43.80837028,-79.17079831,M1B
43.6569658,-79.40516713,M5T
43.6564915,-79.39745334,M5T
43.67362021,-79.38540015,M4W
43.72373698,-79.27533689,M1K
43.67356803,-79.46245462,M6N
43.60182519,-79.55390085,M8W
43.65148209,-79.39027744,M5T
43.6562584,-79.37830415,M5B
43.6562584,-79.37830415,M5B
43.80837028,-79.17079831,M1B
43.77540732,-79.33383336,M2J
43.70755788,-79.34364152,M4H
43.65977591,-79.42476013,M6H
43.65387641,-79.45183232,M6R
43.69122473,-79.28834606,M1L
43.66657251,-79.41960923,M6G
43.69122473,-79.28834606,M1L
43.78708504,-79.32997146,M2J
43.70262266,-79.51419555,M9N
43.80837028,-79.17079831,M1B
43.70755788,-79.34364152,M4H
43.6582966,-79.37100285,M5A
43.70234786,-79.45211177,M6B
43.6504478,-79.45064322,M6R
43.70462309,-79.40848523,M5N
